priority,batch,url,reason
P0,B01,https://homeharmony.app/,"Core entry and discovery hubs"
P0,B01,https://homeharmony.app/chore-systems,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/grocery-lists,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/household-templates,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/lifestyle-tracking,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/macro-plans,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/meal-plans,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/pantry-meals,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/recipe-collections,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/resources,"Core entry and discovery hubs"
P0,B01,https://homeharmony.app/task-systems,"Category hub page with high internal link equity"
P0,B01,https://homeharmony.app/workout-tracking,"Category hub page with high internal link equity"
P1,B01,https://homeharmony.app/chore-systems/chore-system-for-blended-family-schedules,"Feature-led pages with high commercial intent"
P1,B01,https://homeharmony.app/chore-systems/chore-system-for-families-with-young-kids,"Feature-led pages with high commercial intent"
P1,B01,https://homeharmony.app/chore-systems/small-home-high-efficiency-chore-system,"Feature-led pages with high commercial intent"
P1,B01,https://homeharmony.app/chore-systems/teen-accountability-chore-system-with-scorecard,"Feature-led pages with high commercial intent"
P1,B01,https://homeharmony.app/chore-systems/weekly-family-chore-system-for-two-working-parents,"Feature-led pages with high commercial intent"
P1,B01,https://homeharmony.app/household-templates/adhd-friendly-household-task-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/blended-family-household-routine-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/family-of-4-weekly-chore-chart-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/homeschool-family-daily-routine-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/meal-planning-and-chore-sync-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/multigenerational-household-roles-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/newborn-and-toddler-household-routine-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B01,https://homeharmony.app/household-templates/single-parent-weekly-household-system-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/household-templates/small-apartment-family-routine-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/household-templates/teen-and-parent-shared-task-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/household-templates/travel-heavy-family-home-reset-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/household-templates/two-working-parents-night-routine-template,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/lifestyle-tracking/alcohol-habit-tracking-system-with-weekly-review,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/lifestyle-tracking/family-sleep-tracking-system-for-better-routines,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/lifestyle-tracking/family-wellness-dashboard-with-sleep-workout-nutrition,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/lifestyle-tracking/habit-streak-tracking-system-for-household-consistency,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/lifestyle-tracking/period-and-cycle-tracking-for-household-planning,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/macro-plans/1700-calorie-high-satiety-macro-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/2200-calorie-high-protein-3-meal-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/2400-calorie-body-recomposition-macro-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/2600-calorie-active-parent-macro-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/2800-calorie-muscle-gain-macro-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/family-recomp-macro-plan-with-weekend-flex,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/fat-loss-macro-plan-with-family-dinners,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/high-protein-fat-loss-plan-under-2000-calories,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/high-protein-vegetarian-family-macro-plan,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/maintenance-macro-plan-for-busy-parents,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/perimenopause-macro-plan-for-energy-and-compliance,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/macro-plans/postpartum-high-protein-macro-plan-framework,"Mid-funnel pages tied to behavior and subscription intent"
P1,B02,https://homeharmony.app/task-systems/adhd-friendly-household-task-system,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/task-systems/family-task-management-system-with-priority-lanes,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/task-systems/family-task-system-for-travel-heavy-weeks,"Feature-led pages with high commercial intent"
P1,B02,https://homeharmony.app/task-systems/shared-to-do-system-for-couples-and-kids,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/task-systems/weekly-household-admin-task-system,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/workout-tracking/beginner-strength-training-tracker-for-busy-parents,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/workout-tracking/couples-workout-planner-and-tracker,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/workout-tracking/fat-loss-cardio-and-strength-tracking-system,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/workout-tracking/home-gym-workout-tracking-system,"Feature-led pages with high commercial intent"
P1,B03,https://homeharmony.app/workout-tracking/hypertrophy-workout-tracker-with-family-schedule,"Feature-led pages with high commercial intent"
P2,B03,https://homeharmony.app/grocery-lists/aldi-budget-grocery-list-for-7-family-dinners,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/anti-waste-weekly-grocery-list-for-families,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/budget-grocery-rollup-for-mixed-breakfast-and-dinner-plan,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/costco-weekly-grocery-list-for-family-meal-prep,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/double-recipe-grocery-list-for-large-batch-weeks,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/gluten-free-weekly-shopping-list-with-substitutions,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/high-protein-meal-prep-shopping-list,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/instacart-family-grocery-list-with-substitution-logic,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/minimal-fridge-space-weekly-grocery-list,"Topical long-tail acquisition pages"
P2,B03,https://homeharmony.app/grocery-lists/postpartum-support-grocery-list-for-easy-family-meals,"Topical long-tail acquisition pages"
